,ageGroups,commutingTime,incomeGroups,population
Agincourt North,9090,7895,24135,41120
Agincourt South-Malvern West,8890,7520,21160,37570
Alderwood,4790,4185,10560,19535
Annex,16325,7175,26865,50365
Avondale,6995,3550,12245,22790
Banbury-Don Mills,12215,6835,23680,42730
Bathurst Manor,6065,5130,13675,24870
Bay-Cloverhill,10585,3580,15925,30090
Bayview Village,10455,5715,19940,36110
Bayview Woods-Steeles,4755,2970,10770,18495
Bedford Park-Nortown,8340,5470,18160,31970
Beechborough-Greenbrook,2570,2100,5230,9900
Bendale South,3355,3525,9110,15990
Bendale-Glen Andrew,7415,5355,16070,28840
Birchcliffe-Cliffside,9615,6365,19260,35240
Black Creek,7230,6520,17140,30890
Blake-Jones,3100,1780,6215,11095
Briar Hill-Belgravia,5940,5100,12665,23705
Bridle Path-Sunnybrook-York Mills,3300,1885,7625,12810
Broadview North,5275,3255,9490,18020
Brookhaven-Amesbury,6395,5895,14430,26720
Cabbagetown-South St. James Town,6200,2955,10120,19275
Caledonia-Fairbank,3710,3725,8575,16010
Casa Loma,5810,2615,10175,18600
Centennial Scarborough,4420,3495,11240,19155
Church-Wellesley,14670,5640,21420,41730
Clairlea-Birchmount,9400,8470,22340,40210
Clanton Park,7155,5945,14775,27875
Cliffcrest,5875,4650,13625,24150
Corso Italia-Davenport,5215,4155,11355,20725
Danforth,3910,2035,7770,13715
Danforth-East York,6950,4220,13990,25160
Don Valley Village,10235,7550,22945,40730
Dorset Park,8720,7970,20525,37215
Dovercourt Village,5310,3495,11015,19820
Downsview,6975,6680,15410,29065
Downtown Yonge East,11050,4310,16645,32005
Dufferin Grove,5270,3090,10000,18360
East End Danforth,9500,5505,18105,33110
East L'Amoreaux,7205,6190,18580,31975
East Willowdale,5610,3490,13275,22375
Edenbridge-Humber Valley,6285,4420,13125,23830
Eglinton East,8190,7075,18755,34020
Elms-Old Rexdale,3195,2965,7745,13905
Englemount-Lawrence,8160,6335,16980,31475
Eringate-Centennial-West Deane,6845,5545,15805,28195
Etobicoke City Centre,11925,7985,20815,40725
Etobicoke West Mall,4730,4030,10085,18845
Fenside-Parkwoods,8150,6405,17490,32045
Flemingdon Park,8195,6400,18375,32970
Forest Hill North,5250,3810,10400,19460
Forest Hill South,5075,2635,9500,17210
Fort York-Liberty Village,12415,5550,18710,36675
Glenfield-Jane Heights,10000,9850,25070,44920
Golfdale-Cedarbrae-Woburn,8830,8390,22145,39365
Greenwood-Coxwell,6035,3220,11575,20830
Guildwood,3935,2465,8355,14755
Harbourfront-CityPlace,16550,6790,26065,49405
Henry Farm,8510,5895,16970,31375
High Park North,11100,5760,19075,35935
High Park-Swansea,10450,5495,19280,35225
Highland Creek,3795,4085,11140,19020
Hillcrest Village,6385,3645,14400,24430
Humber Bay Shores,13330,7015,20900,41245
Humber Heights-Westmount,4110,3065,8635,15810
Humber Summit,3930,3955,10345,18230
Humbermede,5675,5960,13930,25565
Humewood-Cedarvale,6335,3825,11715,21875
Ionview,4965,4420,11150,20535
Islington,9285,6605,20030,35920
Junction Area,6035,4040,11970,22045
Junction-Wallace Emerson,10185,6925,20100,37210
Keelesdale-Eglinton West,4385,4025,9775,18185
Kennedy Park,6585,5225,14525,26335
Kensington-Chinatown,9520,4320,16870,30710
Kingsview Village-The Westway,7785,6700,18090,32575
Kingsway South,3470,1890,7420,12780
L'Amoreaux West,8295,6085,18815,33195
Lambton Baby Point,3105,1750,6425,11280
Lansing-Westgate,6555,4145,13590,24290
Lawrence Park North,5460,3020,11710,20190
Lawrence Park South,5785,3035,12505,21325
Leaside-Bennington,6435,3655,13630,23720
Little Portugal,7890,4360,13985,26235
Long Branch,5290,3705,9765,18760
Malvern East,8565,8585,22175,39325
Malvern West,5115,5825,14490,25430
Maple Leaf,3600,3415,8385,15400
Markland Wood,4220,2615,9055,15890
Milliken,7585,6495,20760,34840
Mimico-Queensway,7875,5125,14650,27650
Morningside,5875,5795,14735,26405
Morningside Heights,6535,8520,20860,35915
Moss Park,13290,5520,19920,38730
Mount Dennis,5055,4635,10910,20600
Mount Olive-Silverstone-Jamestown,9740,10125,25660,45525
Mount Pleasant East,7170,3570,13590,24330
New Toronto,5275,3510,9695,18480
Newtonbrook East,6165,4200,13770,24135
Newtonbrook West,9090,8000,21200,38290
North Riverdale,4905,2600,9500,17005
North St. James Town,9530,5765,16370,31665
North Toronto,9430,4540,14570,28540
O`Connor Parkview,7460,5200,15500,28160
Oakdale-Beverley Heights,7655,7815,17620,33090
Oakridge,5315,3675,11140,20130
Oakwood Village,8635,6445,17635,32715
Old East York,3725,2370,7745,13840
Palmerston-Little Italy,6180,3395,11925,21500
Parkwoods-O'Connor Hills,5055,3865,11680,20600
Pelmo Park-Humberlea,3915,3860,9595,17370
Playter Estates-Danforth,3645,1565,6590,11800
Pleasant View,5445,4105,13410,22960
Princess-Rosethorn,3900,2940,9425,16265
Regent Park,6110,3185,11005,20300
Rexdale-Kipling,3945,3680,8800,16425
Rockcliffe-Smythe,9035,7105,18910,35050
Roncesvalles,6785,3755,12485,23025
Rosedale-Moore Park,9875,3900,17685,31460
Runnymede-Bloor West Village,3840,2315,8115,14270
Rustic,3520,2830,7765,14115
Scarborough Village,5955,4820,13415,24190
South Eglinton-Davisville,13185,6055,20545,39785
South Parkdale,11285,6535,18580,36400
South Riverdale,12710,6925,23885,43520
St Lawrence-East Bayfront-The Islands,18790,7585,29005,55380
St.Andrew-Windfields,6345,4200,14525,25070
Steeles,7865,5620,20015,33500
Stonegate-Queensway,10515,7105,21430,39050
Tam O'Shanter-Sullivan,10350,7770,23540,41660
Taylor Massey,6010,4340,12345,22695
The Beaches,9430,4690,17850,31970
Thistletown-Beaumond Heights,3245,3365,8355,14965
Thorncliffe Park,7065,4960,15425,27450
Trinity-Bellwoods,6840,4005,13810,24655
University,3240,1460,5930,10630
Victoria Village,7275,4970,14660,26905
Wellington Place,17070,6180,24440,47690
West Hill,10175,8825,23665,42665
West Humber-Clairville,10700,12920,29000,52620
West Queen West,7700,3490,12045,23235
West Rouge,7025,6140,17665,30830
Westminster-Branson,10030,8880,22325,41235
Weston,7920,5970,15550,29440
Weston-Pelham Park,4195,3260,9110,16565
Wexford/Maryvale,10260,9300,24170,43730
Willowdale West,7835,4320,15390,27545
Willowridge-Martingrove-Richview,8600,6445,18945,33990
Woburn North,9825,8400,22575,40800
Woodbine Corridor,5235,2870,9890,17995
Woodbine-Lumsden,3380,2090,6625,12095
Wychwood,5770,3150,11030,19950
Yonge-Bay Corridor,7465,3240,11680,22385
Yonge-Doris,9845,4925,17990,32760
Yonge-Eglinton,6000,2945,10690,19635
Yonge-St. Clair,7210,3160,11595,21965
York University Heights,10350,9995,24395,44740
Yorkdale-Glen Park,6840,5290,14565,26695
